study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19025	SAMEA52155418	ERX1864332	ERR1800791	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1800791/ERR1800791.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800791/Tn-Seq_BHI-5.fastq.gz	
PRJEB19025	SAMEA52156168	ERX1864333	ERR1800792	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1800792/ERR1800792.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800792/Tn-Seq_BHI-6.fastq.gz	
PRJEB19025	SAMEA52156918	ERX1864334	ERR1800793	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1800793/ERR1800793.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800793/Tn-Seq_BHI-7.fastq.gz	
PRJEB19025	SAMEA52157668	ERX1864335	ERR1800794	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1800794/ERR1800794.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800794/Tn-Seq_BHI-8.fastq.gz	
PRJEB19025	SAMEA52158418	ERX1864336	ERR1800795	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1800795/ERR1800795.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800795/Tn-Seq_BHI-9.fastq.gz	
PRJEB19025	SAMEA52159168	ERX1864337	ERR1800796	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1800796/ERR1800796.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800796/Tn-Seq_BHI-10.fastq.gz	
PRJEB19025	SAMEA52283668	ERX1864552	ERR1801006	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1801006/ERR1801006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801006/Tn-Seq_Serum-1.fastq.gz	
PRJEB19025	SAMEA52285168	ERX1864553	ERR1801007	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1801007/ERR1801007.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801007/Tn-Seq_Serum-2.fastq.gz	
PRJEB19025	SAMEA52286668	ERX1864554	ERR1801008	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1801008/ERR1801008.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801008/Tn-Seq_Serum-3.fastq.gz	
PRJEB19025	SAMEA52288168	ERX1864555	ERR1801009	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1801009/ERR1801009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801009/Tn-Seq_HISerum-1.fastq.gz	
PRJEB19025	SAMEA52289668	ERX1864556	ERR1801010	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1801010/ERR1801010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801010/Tn-Seq_HISerum-2.fastq.gz	
PRJEB19025	SAMEA52291168	ERX1864557	ERR1801011	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1801011/ERR1801011.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801011/Tn-Seq_HISerum-3.fastq.gz	
PRJEB19025	SAMEA52291918	ERX1864558	ERR1801012	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1801012/ERR1801012.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801012/Tn-Seq_BHI-1.1.fastq.gz	
PRJEB19025	SAMEA52293418	ERX1864559	ERR1801013	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1801013/ERR1801013.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801013/Tn-Seq_BHI-2.1.fastq.gz	
PRJEB19025	SAMEA52294918	ERX1864560	ERR1801014	1352	Enterococcus faecium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1801014/ERR1801014.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801014/Tn-Seq_BHI-3.1.fastq.gz	
